,Stn,  "Datum", "Tijd", "DD",¢,   "FK",   "FF",  "FF1",  "FF2",¢.1,           "WW",¢.2,    "N",¢.3,    "T",¢.4,    "U",¢.5,   "EE",¢.6,   "Tw",¢.7,    "P",   "Pt",  "Pt1",¢.8,   "Rd",                     "Dr",¢.9,   "EV",¢.10,  "Trn",  "Tin",   "Tn",¢.11,  "Trx",  "Tix",   "Tx",¢.12
0,78989,19400101,800, "OZO" ,0, //////,      8, //////, //////,0, //////////////,7,      5,0,    265,0,     74,0,    193,0,    230,0, //////,  76230, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
1,78989,19400101,1300, "OZO" ,0, //////,      7, //////, //////,0, //////////////,7,      8,0,    280,0,     67,0,    191,0,    233,0, //////,  76160, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
2,78989,19400101,1400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
3,78989,19400101,1800, "OZO" ,0, //////,      6, //////, //////,0, //////////////,7,      3,0,    251,0,     85,0,    204,0,    232,0, //////,  76090, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
4,78989,19400101,1900, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
5,78989,19400101,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    233,0, //////, //////,    299,0
6,78989,19400102,800, "OZO" ,0, //////,      5, //////, //////,0, //////////////,7,      3,0,    255,0,     82,0,    200,0,    231,0, //////,  76190, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
7,78989,19400102,1300, "ZO"  ,0, //////,     10, //////, //////,0, //////////////,7,      5,0,    280,0,     70,0,    198,0,    237,0, //////,  76160, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
8,78989,19400102,1400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
9,78989,19400102,1800, "OZO" ,0, //////,      5, //////, //////,0, //////////////,7,      1,0,    264,0,     74,0,    192,0,    229,0, //////,  76160, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
10,78989,19400102,1900, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
11,78989,19400102,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    226,0, //////, //////,    306,0
12,78989,19400103,800, "OZO" ,0, //////,      7, //////, //////,0, //////////////,7,      6,0,    266,0,     78,0,    205,0,    237,0, //////,  76330, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
13,78989,19400103,1300, "O"   ,0, //////,     10, //////, //////,0, //////////////,7,      4,0,    294,0,     62,0,    191,0,    237,0, //////,  76260, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
14,78989,19400103,1400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
15,78989,19400103,1800, "OZO" ,0, //////,      9, //////, //////,0, //////////////,7,      6,0,    258,0,     78,0,    195,0,    229,0, //////,  76200, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
16,78989,19400103,1900, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
17,78989,19400103,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    230,0, //////, //////,    311,0
18,78989,19400104,800, "OZO" ,0, //////,      3, //////, //////,0, //////////////,7,      1,0,    258,0,     77,0,    192,0,    227,0, //////,  76560, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
19,78989,19400104,1300, "OZO" ,0, //////,      5, //////, //////,0, //////////////,7,      2,0,    296,0,     59,0,    183,0,    233,0, //////,  76300, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
20,78989,19400104,1400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
21,78989,19400104,1800, "OZO" ,0, //////,      6, //////, //////,0, //////////////,7,      2,0,    263,0,     76,0,    194,0,    230,0, //////,  76110, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
22,78989,19400104,1900, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
23,78989,19400104,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    230,0, //////, //////,    305,0
24,78989,19400105,800, "OZO" ,0, //////,     12, //////, //////,0, //////////////,7,      7,0,    258,0,     78,0,    195,0,    229,0, //////,  76320, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
25,78989,19400105,1300, "OZO" ,0, //////,     10, //////, //////,0, //////////////,7,      8,0,    294,0,     63,0,    195,0,    239,0, //////,  76240, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
26,78989,19400105,1400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
27,78989,19400105,1800, "O"   ,0, //////,      6, //////, //////,0, //////////////,7,      7,0,    258,0,     83,0,    207,0,    236,0, //////,  76160, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
28,78989,19400105,1900, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
29,78989,19400105,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    231,0, //////, //////,    306,0
30,78989,19400106,800, "OZO" ,0, //////,      3, //////, //////,0, //////////////,7,      8,0,    250,0,     83,0,    197,0,    228,0, //////,  76290, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
31,78989,19400106,1300, "O"   ,0, //////,      8, //////, //////,0, //////////////,7,      5,0,    281,0,     69,0,    198,0,    237,0, //////,  76200, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
32,78989,19400106,1400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
33,78989,19400106,1800, "OZO" ,0, //////,      6, //////, //////,0, //////////////,7,      1,0,    264,0,     74,0,    192,0,    229,0, //////,  76160, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
34,78989,19400106,1900, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
35,78989,19400106,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    231,0, //////, //////,    301,0
36,78989,19400107,800, "O"   ,0, //////,      7, //////, //////,0, //////////////,7,      5,0,    268,0,     76,0,    201,0,    235,0, //////,  76420, //////,0,     10, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
37,78989,19400107,1300, "O"   ,0, //////,     10, //////, //////,0, //////////////,7,      7,0,    284,0,     73,0,    211,0,    245,0, //////,  76300, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
38,78989,19400107,1400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
39,78989,19400107,1800, "O"   ,0, //////,      8, //////, //////,0, //////////////,7,      6,0,    260,0,     73,0,    184,0,    223,0, //////,  76240, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
40,78989,19400107,1900, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
41,78989,19400107,2400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////,    230,0, //////, //////,    303,0
42,78989,19400108,800, "O"   ,0, //////,     10, //////, //////,0, //////////////,7,      3,0,    268,0,     73,0,    194,0,    231,0, //////,  76370, //////,0,      0, ////////////////////////,0, //////,7, //////, //////, //////,7, //////, //////, //////,7
43,78989,19400108,1300, "OZO" ,0, //////,     12, //////, //////,0, //////////////,7,      2,0,    300,0,     62,0,    199,0,    243,0, //////,  76300, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
44,78989,19400108,1400, //////,7, //////, //////, //////, //////,7, //////////////,7, //////,7, //////,7, //////,7, //////,7, //////,7, //////, //////, //////,7, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
45,78989,19400108,1800, "O"   ,0, //////,     11, //////, //////,0, //////////////,7,      2,0,    260,0,     78,0,    196,0,    230,0, //////,  76180, //////,0, //////, ////////////////////////,7, //////,7, //////, //////, //////,7, //////, //////, //////,7
